date,time,price
20070118,1000,99.41
20070118,1005,99.18
20070118,1010,99.1
20070118,1015,99.05
20070118,1020,99.05
20070118,1025,99.09
20070118,1030,99.25
20070118,1035,99.17
20070118,1040,99.35
20070118,1045,99.25
20070118,1050,99.22
20070118,1055,99.27
20070118,1100,99.2
20070118,1105,99.22
20070118,1110,99.39
20070118,1115,99.26
20070118,1120,99.36
20070118,1125,99.19
20070118,1130,99.19
20070118,1135,99.13
20070118,1140,99.12
20070118,1145,99.1
20070118,1150,99.15
20070118,1155,99.42
20070118,1200,99.43
20070118,1205,99.41
20070118,1210,99.5
20070118,1215,99.49
20070118,1220,99.47
20070118,1225,99.4
20070118,1230,99.36
20070118,1235,99.31
20070118,1240,99.42
20070118,1245,99.46
20070118,1250,99.39
20070118,1255,99.39
20070118,1300,99.32
20070118,1305,99.35
20070118,1310,99.33
20070118,1315,99.33
20070118,1320,99.32
20070118,1325,99.35
20070118,1330,99.33
20070118,1335,99.48
20070118,1340,99.57
20070118,1345,99.61
20070118,1350,99.62
20070118,1355,99.88
20070118,1400,99.87
20070118,1405,99.67
20070118,1410,99.73
20070118,1415,99.74
20070118,1420,99.9
20070118,1425,99.64
20070118,1430,99.54
20070118,1435,99.55
20070118,1440,99.4
20070118,1445,99.54
20070118,1450,99.5
20070118,1455,99.38
20070118,1500,99.35
20070118,1505,99.4
20070118,1510,99.23
20070118,1515,99.31
20070118,1520,99.38
20070118,1525,99.33
20070118,1530,99.41
20070118,1535,99.33
20070118,1540,99.35
20070118,1545,99.31
20070118,1550,99.45
20070118,1555,99.49
20070118,1600,99.33
20070119,935,95.25
20070119,940,95.34
20070119,945,94.93
20070119,950,94.89
20070119,955,94.66
20070119,1000,94.78
20070119,1005,94.7
20070119,1010,95.01
20070119,1015,95.21
20070119,1020,95.2
20070119,1025,95.17
20070119,1030,95.09
20070119,1035,95.03
20070119,1040,95.15
20070119,1045,95.27
20070119,1050,95.33
20070119,1055,95.28
20070119,1100,95.72
20070119,1105,95.64
20070119,1110,95.64
20070119,1115,95.83
20070119,1120,95.77
20070119,1125,95.77
20070119,1130,95.69
20070119,1135,95.87
20070119,1140,95.69
20070119,1145,95.4
20070119,1150,95.45
20070119,1155,95.6
20070119,1200,95.8
20070119,1205,95.74
20070119,1210,95.65
20070119,1215,95.72
20070119,1220,95.7
20070119,1225,95.82
20070119,1230,95.86
20070119,1235,95.92
20070119,1240,95.87
20070119,1245,95.87
20070119,1250,96.12
20070119,1255,96.07
20070119,1300,96.25
20070119,1305,96.37
20070119,1310,96.47
20070119,1315,96.78
20070119,1320,96.71
20070119,1325,96.49
20070119,1330,96.63
20070119,1335,96.44
20070119,1340,96.34
20070119,1345,96.24
20070119,1350,96.2
20070119,1355,96.21
20070119,1400,96.22
20070119,1405,96.28
20070119,1410,96.11
20070119,1415,96.09
20070119,1420,96.06
20070119,1425,95.79
20070119,1430,95.89
20070119,1435,95.9
20070119,1440,95.87
20070119,1445,95.91
20070119,1450,96.09
20070119,1455,96.09
20070119,1500,96.1
20070119,1505,95.96
20070119,1510,96.12
20070119,1515,96.02
20070119,1520,95.97
20070119,1525,96.04
20070119,1530,96.16
20070119,1535,96.17
20070119,1540,96.09
20070119,1545,96.01
20070119,1550,96.04
20070119,1555,96.14
20070119,1600,96.16
20070122,935,96.6
20070122,940,96.44
20070122,945,96.4
20070122,950,96.47
20070122,955,96.48
20070122,1000,96.74
20070122,1005,96.71
20070122,1010,96.67
20070122,1015,96.7
20070122,1020,96.67
20070122,1025,96.56
20070122,1030,96.48
20070122,1035,96.44
20070122,1040,96.33
20070122,1045,96.17
20070122,1050,96.35
20070122,1055,96.41
20070122,1100,96.39
20070122,1105,96.28
20070122,1110,96.31
20070122,1115,96.37
20070122,1120,96.37
20070122,1125,96.36
20070122,1130,96.4
20070122,1135,96.4
20070122,1140,96.48
20070122,1145,96.48
20070122,1150,96.49
20070122,1155,96.65
20070122,1200,96.51
20070122,1205,96.54
20070122,1210,96.59
20070122,1215,96.6
20070122,1220,96.69
20070122,1225,96.82
20070122,1230,96.8
20070122,1235,96.81
20070122,1240,96.63
20070122,1245,96.65
20070122,1250,96.57
20070122,1255,96.55
20070122,1300,96.51
20070122,1305,96.49
20070122,1310,96.45
20070122,1315,96.63
20070122,1320,96.65
20070122,1325,96.59
20070122,1330,96.66
20070122,1335,96.62
